id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_105	1064471185105			POINT	323.754260394307 600.497236390055	0.460097843950268 0.145429670193639	-16777216	10	10	10	10					
-1064471185_106	1064471185106			POINT	329.230759107071 610.592720056314	0.467840236212342 0.130978282864634	-16777216	10	10	10	10					
-1064471185_107	1064471185107			POINT	340.146405673591 611.109985126161	0.483339285211713 0.130201306389171	-16777216	10	10	10	10					
-1064471185_108	1064471185108			POINT	351.062052640724 611.627248790572	0.498838334211083 0.129424329913709	-16777216	10	10	10	10					
-1064471185_109	1064471185109			POINT	361.977700004579 612.144511089591	0.514337383210454 0.128647353438247	-16777216	10	10	10	10					
-1064471185_110	1064471185110			POINT	361.79252601836 624.269505727764	0.514032952487261 0.111314053125733	-16777216	10	10	10	10					
-1064471185_111	1064471185111			POINT	361.607329925922 636.394499887303	0.513728521764068 0.0939807528132199	-16777216	10	10	10	10					
-1064471185_112	1064471185112			POINT	361.422111766308 648.519493590719	0.513424091040875 0.0766474525007083	-16777216	10	10	10	10					
-1064471185_113	1064471185113			POINT	350.10455815653 651.009283347118	0.497344061732086 0.0731268698010522	-16777216	10	10	10	10					
-1064471185_114	1064471185114			POINT	375.708832809073 651.447551045539	0.533702000975388 0.072412471553685	-16777216	10	10	10	10					
-1064471185_115	1064471185115			POINT	376.812298864908 610.512830027617	0.53540891302462 0.130929045313043	-16777216	10	10	10	10					
-1064471185_116	1064471185116			POINT	388.636330800438 610.667742546858	0.552199158285123 0.130666955858634	-16777216	10	10	10	10					
-1064471185_117	1064471185117			POINT	400.46036288842 610.822652779079	0.568989403545627 0.130404866404225	-16777216	10	10	10	10					
-1064471185_118	1064471185118			POINT	290.928906429185 577.218744236657	0.413563677242676 0.178821594010308	-16777216	10	10	10	10					
-1064471185_119	1064471185119			POINT	291.619121333682 562.30970067515	0.414594890815727 0.200133344223602	-16777216	10	10	10	10					
-1064471185_120	1064471185120			POINT	292.309308235538 547.400655473798	0.41562610438878 0.221445094436896	-16777216	10	10	10	10					
-1064471185_121	1064471185121			POINT	372.898484500837 585.544848680037	0.529936607926879 0.166636777792264	-16777216	10	10	10	10					
-1064471185_122	1064471185122			POINT	389.054388490873 585.111226771006	0.552880391478325 0.167201128929765	-16777216	10	10	10	10					
-1064471185_123	1064471185123			POINT	405.210291823125 584.677597545544	0.575824175029768 0.167765480067268	-16777216	10	10	10	10					
-1064471185_124	1064471185124			POINT	421.36619449432 584.243960939894	0.598767958581212 0.168329831204769	-16777216	10	10	10	10					
-1064471185_125	1064471185125			POINT	421.26466184605 595.440726804606	0.598585367202521 0.152323320962209	-16777216	10	10	10	10					
